,0,1,2
0,1.0,0.0,0.0
1,1.0,0.0,0.0
2,0.0,1.0,0.0
3,0.0,1.0,0.0
4,0.0,0.0,1.0
5,1.0,0.0,0.0
6,0.0,1.0,0.0
7,0.0,1.0,0.0
8,1.0,0.0,0.0
9,1.0,0.0,0.0
10,0.0,0.0,1.0
11,0.0,1.0,0.0
12,1.0,0.0,0.0
13,0.0,1.0,0.0
14,0.0,0.0,1.0
15,0.0,0.0,1.0
16,1.0,0.0,0.0
17,1.0,0.0,0.0
18,1.0,0.0,0.0
19,0.0,0.0,1.0
20,1.0,0.0,0.0
21,0.0,0.0,1.0
22,1.0,0.0,0.0
23,0.0,1.0,0.0
24,1.0,0.0,0.0
25,0.0,0.0,1.0
26,0.0,0.0,1.0
27,1.0,0.0,0.0
28,0.0,0.0,1.0
29,1.0,0.0,0.0
30,0.0,0.0,1.0
31,0.0,0.0,1.0
32,0.0,0.0,1.0
33,1.0,0.0,0.0
34,1.0,0.0,0.0
35,0.0,0.0,1.0
36,1.0,0.0,0.0
37,0.0,1.0,0.0
38,1.0,0.0,0.0
39,0.0,0.0,1.0
40,1.0,0.0,0.0
41,0.0,0.0,1.0
42,0.0,1.0,0.0
43,0.0,0.0,1.0
44,1.0,0.0,0.0
45,0.0,0.0,1.0
46,0.0,0.0,1.0
47,0.0,1.0,0.0
48,0.0,1.0,0.0
49,1.0,0.0,0.0
50,1.0,0.0,0.0
51,1.0,0.0,0.0
52,0.0,1.0,0.0
53,1.0,0.0,0.0
54,0.0,1.0,0.0
55,0.0,0.0,1.0
56,1.0,0.0,0.0
57,0.0,1.0,0.0
58,1.0,0.0,0.0
59,1.0,0.0,0.0
60,1.0,0.0,0.0
61,0.0,1.0,0.0
62,1.0,0.0,0.0
63,1.0,0.0,0.0
64,0.0,0.0,1.0
65,1.0,0.0,0.0
66,1.0,0.0,0.0
67,0.0,0.0,1.0
68,1.0,0.0,0.0
69,1.0,0.0,0.0
70,0.0,1.0,0.0
71,0.0,0.0,1.0
72,0.0,1.0,0.0
73,1.0,0.0,0.0
74,0.0,0.0,1.0
75,1.0,0.0,0.0
76,1.0,0.0,0.0
77,0.0,0.0,1.0
78,0.0,0.0,1.0
79,1.0,0.0,0.0
80,1.0,0.0,0.0
81,1.0,0.0,0.0
82,1.0,0.0,0.0
83,1.0,0.0,0.0
84,1.0,0.0,0.0
85,1.0,0.0,0.0
86,1.0,0.0,0.0
87,0.0,0.0,1.0
88,0.0,1.0,0.0
89,0.0,0.0,1.0
90,1.0,0.0,0.0
91,1.0,0.0,0.0
92,0.0,0.0,1.0
93,0.0,1.0,0.0
94,1.0,0.0,0.0
95,1.0,0.0,0.0
96,1.0,0.0,0.0
97,1.0,0.0,0.0
98,0.0,0.0,1.0
99,0.0,1.0,0.0
100,1.0,0.0,0.0
101,1.0,0.0,0.0
102,0.0,1.0,0.0
103,0.0,0.0,1.0
104,0.0,1.0,0.0
105,0.0,0.0,1.0
106,1.0,0.0,0.0
107,1.0,0.0,0.0
108,0.0,0.0,1.0
109,0.0,1.0,0.0
110,0.0,0.0,1.0
111,1.0,0.0,0.0
112,1.0,0.0,0.0
113,0.0,1.0,0.0
114,1.0,0.0,0.0
115,0.0,0.0,1.0
116,1.0,0.0,0.0
117,1.0,0.0,0.0
118,1.0,0.0,0.0
119,0.0,1.0,0.0
120,0.0,1.0,0.0
121,1.0,0.0,0.0
122,0.0,1.0,0.0
123,0.0,0.0,1.0
124,0.0,0.0,1.0
125,1.0,0.0,0.0
126,0.0,1.0,0.0
127,1.0,0.0,0.0
128,1.0,0.0,0.0
129,1.0,0.0,0.0
130,0.0,1.0,0.0
131,0.0,1.0,0.0
132,1.0,0.0,0.0
133,0.0,0.0,1.0
134,1.0,0.0,0.0
135,0.0,1.0,0.0
136,1.0,0.0,0.0
137,0.0,1.0,0.0
138,0.0,0.0,1.0
139,0.0,1.0,0.0
140,0.0,1.0,0.0
141,0.0,0.0,1.0
142,1.0,0.0,0.0
143,1.0,0.0,0.0
144,0.0,1.0,0.0
145,0.0,1.0,0.0
146,0.0,0.0,1.0
147,1.0,0.0,0.0
148,1.0,0.0,0.0
149,1.0,0.0,0.0
150,1.0,0.0,0.0
151,0.0,1.0,0.0
152,0.0,1.0,0.0
153,0.0,1.0,0.0
